"","crianca","video","frente_fundo","fundo_frente","fundo_errado","errado_fundo","frente_errado","errado_frente","olhou_pro_errado","acerto_frente","indice_alternancia_rja","indice_alternancia_ija","indice_alternancia_objeto","total_acerto_frente","total_olhou_errado","fixation_acerto_frente","fixation_olhou_pro_errado","indice_acerto","condicao","pre_pos"
"208","fidel","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"209","fidel","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","-"
"210","fidel","A6",0,1,0,0,0,0,0,1,1,0,0,604,0,268,0,1,"ija","-"
"211","fidel","B2",0,0,0,0,0,0,0,1,0,0,0,248,0,248,0,1,"ija","-"
"212","fidel","B5",0,1,0,0,0,0,0,1,1,0,0,1118,0,34,0,1,"ija","-"
"213","fidel","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"214","fidel","B7",1,1,0,0,0,0,0,1,1,1,0,308,0,126,0,1,"rja","-"
"215","fidel","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"216","fidel","D2",0,1,0,0,0,0,0,1,1,0,0,828,0,828,0,1,"ija","-"
"217","fidel","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","-"
"218","fidel","D5",1,0,0,0,0,0,0,1,0,1,0,114,0,114,0,1,"ija","-"
"219","franc","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"220","franc","A6",0,0,0,0,0,0,0,1,0,0,0,42,0,42,0,1,"ija","0"
"221","franc","B2",0,1,0,0,0,0,0,1,1,0,0,122,0,122,0,1,"ija","0"
"222","franc","B5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"223","franc","B6",1,1,0,0,0,0,0,1,1,1,0,316,0,316,0,1,"rja","0"
"224","franc","B7",0,1,0,0,0,0,0,1,1,0,0,174,0,174,0,1,"rja","0"
"225","franc","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"226","franc","D2",0,0,0,0,0,0,0,1,0,0,0,134,0,134,0,1,"ija","0"
"227","franc","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"228","franc","D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"229","gabi21t","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"230","gabi21t","A2",0,0,1,0,0,0,1,0,-1,0,0,0,392,0,206,-1,"ija","1"
"231","gabi21t","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"232","gabi21t","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"233","gabi21t","B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"234","gabi21t","B5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"235","gabi21t","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"236","gabi21t","B7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"237","gabi21t","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"238","gabi21t","D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"239","gabif.2","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"240","gabif.2","A4",0,0,1,0,0,0,1,0,-1,0,0,0,148,0,148,-1,"rja","1"
"241","gabif.2","A6",0,0,0,0,0,0,0,1,0,0,0,126,0,126,0,1,"ija","1"
"242","gabif.2","B2",0,1,0,0,0,0,0,1,1,0,0,620,0,620,0,1,"ija","1"
"243","gabif.2","B5",0,0,1,0,1,1,1,1,-1,0,0,806,244,806,208,0,"ija","1"
"244","gabif.2","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"245","gabif.2","B7",0,1,0,0,0,0,0,1,1,0,0,334,0,334,0,1,"rja","1"
"246","gabif.2","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"247","gabif.2","D2",0,1,0,0,0,0,0,1,1,0,0,760,0,638,0,1,"ija","1"
"248","gabif.2","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"249","gui","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"250","gui","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"251","gui","A4",0,1,0,0,0,0,0,1,1,0,0,82,0,82,0,1,"rja","0"
"252","gui","A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","0"
"253","gui","B2",0,1,0,0,0,0,0,1,1,0,0,908,0,908,0,1,"ija","0"
"254","gui","B5",0,0,0,0,0,0,0,1,0,0,0,390,0,390,0,1,"ija","0"
"255","gui","B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"256","gui","B7",1,1,0,0,0,0,0,1,1,1,0,554,0,326,0,1,"rja","0"
"257","gui","D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"258","gui","D2",0,1,0,0,0,0,0,1,1,0,0,1254,0,534,0,1,"ija","0"
"259","gui","D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","0"
"260","gui","D5",0,1,0,0,0,0,0,1,1,0,0,162,0,162,0,1,"ija","0"
"261","gui.2","A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
"262","gui.2","A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ija","1"
"263","gui.2","A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rja","1"
